id,classification_predictions,regression_predictions
0c2b855c9bbdd1513b826ebdbd157ee8afa3faa9,0.5368004206006665,3
8f862af208004bc8f20501a122305ae9fff7d984,0.9998872493536303,30
60f8f137f6c65b98e5f0908844c6d60522597cca,0.9996172025197383,30
7c60c5e2b3be0ed88074bdfa611d66351183facd,0.9999990579134285,30
ac46be871300a72f0cdeca4c886bad9d0e1f5770,0.07784210090765609,6
ef672059428868eac111c7f4da92ab814540f0d2,0.02124472220801743,20
7b2af06eddb9463c2cd93a4aa18527244a5bd726,0.9256123002882367,30
d719502556e74d0f1d080557effc10658497f70b,0.00040788086824705694,20
a84ba7e18439755ee0d754101213c912b9291570,0.9922667673856572,3
fffdd654bd60b81ffd51a723a8839b8f5381feba,0.008025452674042644,1
4e4bfeabb7c6504d70fc59ab3ce638eafb2d4ab3,0.5299681165404868,3
a43a94985e061debf92013f04c12311ac9d6b188,0.021550938556567645,1
7633fbdd1fdc1acbe83457d4f2f0f0e994257571,0.9999999994823845,30
d5fbb66351bde49a18ea70436abe90fb34a16544,0.9889214166023548,3
d34f5b70466112344f83f7f8c07ae316b4ffeb85,0.9999999978258628,30
9a6fafceaf70bd3debce885cecd941e9058cc93c,0.007616206466127817,20
28d247855f0558274233e891bc26fb67c44ca8c0,0.000282985850604045,20
2ccea14c63174beaeaf46fc95e216532dfd1b886,0.8565053142065482,3
af951757caf01e4e4a0ae1540a786a31d111b297,0.48568883143904296,3
b4bf649c534bbc2dce5a3a7c6c4493e3e9d1c1bf,0.9390134451989677,3
fc897d3677a5004da3a00692c98667aee02887f5,0.536886320379732,3
09e37721985c925e7ee353be92608110a33ebe83,0.0957714803259706,1
f311935993952981b257fadb2eac0ea48fad74bd,0.00012879687727840317,20
900a8a729229908f25db97f1e9aa5bc63eb1affc,0.004218547887068214,20
7729c7b07cad76d0572c3261ef87cce42a2b046f,0.014751010060052527,20
b17c5b315f8b7e9fe71098f2b674d2886a0703a1,0.9999983724144319,10
6aa89a8f5bfd80ca00a289b3361bf33947e48708,0.9985398474279782,10
a36ec2ccb29f9bd036d70f994b603443a3cbefed,0.9999999999999999,30
21c47f62d1f25562cdb19ed84ea41e69cc1686a6,0.01896188947849964,20
819749d78ec87c165217dbadc6ccffa7d9c3924b,0.8413624764356578,10
0df597f1906175f01b99dbe88aedadff9ea361b1,0.998667095083306,10
d56a179ffabddceb4d21a546ed5fad6fabfb7d5e,0.9997990483991388,30
