id,classification_predictions,regression_predictions
0c2b855c9bbdd1513b826ebdbd157ee8afa3faa9,0.1714462987687032,6
8f862af208004bc8f20501a122305ae9fff7d984,0.9999890978353596,30
60f8f137f6c65b98e5f0908844c6d60522597cca,0.8916120295757206,30
7c60c5e2b3be0ed88074bdfa611d66351183facd,0.9999999749217294,30
ac46be871300a72f0cdeca4c886bad9d0e1f5770,0.1487708185318909,6
ef672059428868eac111c7f4da92ab814540f0d2,0.10958024790485266,20
7b2af06eddb9463c2cd93a4aa18527244a5bd726,0.9999672889721145,30
d719502556e74d0f1d080557effc10658497f70b,0.0025010287196323144,20
a84ba7e18439755ee0d754101213c912b9291570,0.7359871100580124,3
fffdd654bd60b81ffd51a723a8839b8f5381feba,0.05572645307588686,1
4e4bfeabb7c6504d70fc59ab3ce638eafb2d4ab3,0.2200757924087553,3
a43a94985e061debf92013f04c12311ac9d6b188,0.14915741711277009,1
7633fbdd1fdc1acbe83457d4f2f0f0e994257571,0.998924488677574,10
d5fbb66351bde49a18ea70436abe90fb34a16544,0.9760965512096353,3
d34f5b70466112344f83f7f8c07ae316b4ffeb85,0.9998499878471695,30
9a6fafceaf70bd3debce885cecd941e9058cc93c,0.04803880056005838,20
28d247855f0558274233e891bc26fb67c44ca8c0,0.07024088992587496,20
2ccea14c63174beaeaf46fc95e216532dfd1b886,0.11555696571873475,3
af951757caf01e4e4a0ae1540a786a31d111b297,0.6505462211211439,3
b4bf649c534bbc2dce5a3a7c6c4493e3e9d1c1bf,0.9513204442303417,3
fc897d3677a5004da3a00692c98667aee02887f5,0.34438705558481697,6
09e37721985c925e7ee353be92608110a33ebe83,0.3642592798489883,6
f311935993952981b257fadb2eac0ea48fad74bd,0.2283941795186113,20
900a8a729229908f25db97f1e9aa5bc63eb1affc,0.053266647616463825,20
7729c7b07cad76d0572c3261ef87cce42a2b046f,0.24652008068720133,20
b17c5b315f8b7e9fe71098f2b674d2886a0703a1,0.9788873322369065,10
6aa89a8f5bfd80ca00a289b3361bf33947e48708,0.914443761617059,10
a36ec2ccb29f9bd036d70f994b603443a3cbefed,0.9991631818838996,30
21c47f62d1f25562cdb19ed84ea41e69cc1686a6,0.06830965575138881,20
819749d78ec87c165217dbadc6ccffa7d9c3924b,0.7179010604940321,10
0df597f1906175f01b99dbe88aedadff9ea361b1,0.7793202976740752,10
d56a179ffabddceb4d21a546ed5fad6fabfb7d5e,0.9998806560831859,30
2876a4f96780b78788d532f01db482b2ad8b9097,0.9998566561158369,30
bc7f8767200231c7348cb2c5d1585d483096bd7f,0.8482356239182152,30
0b90de78f32c45e5467e08945d46b67c4bb7c8d6,0.9122168180475541,10
78684ab0fc0a4b28e68e02a5b1e69006f91d1ec3,0.0642661759886044,20
5a9ac46afd7ef2036eb9f16eae5d9509f9133a82,0.13136504827396212,1
85f1c0bbf2f0a2e88c1fd26d6ea8ecc86b6c4653,0.01743470222597099,1
1bdcc195700eeb5b5500064855fa01e103581f4e,0.23896827175673585,20
6cf68a4776314b959823e9285929dad1beea1cd6,0.18172543680876152,6
3b449478c2d443afec54e35010fbdabc450f3aa1,0.7040780365958503,10
eb83ae8cc97058cfdab248952e69a6f04feaa4bb,0.4645811532943406,20
16472c1ac0bb7889275e5201a5665fb719e0c989,0.9831063303970845,10
35b754128d7ba027f98d24586a359f56ea05dc9e,0.9999941699273602,30
0278482fdadbefc0a959eda682c645a8e74214cc,0.18386269353954643,6
456a37cb9b58c291e4533c1407354ef8053407e5,0.4556249396479961,3
61e957f358783fdc1b2fdbd14a0adc6f69701e43,0.9998894190972012,30
3f82e470ba5b24726fb8063524e83186f11ddcce,0.987205019321075,3
4d6b503630ccde9c93e951cd76b28ee4b185b6b9,0.9999953865044288,30
fb82c8c0388a121c95ac7558045f15f6b6cdddf0,0.1307330248931361,1
e19308f344e761f9461743becf41975bb011c96a,0.6911183495294264,3
826f5e75c7b2ad7bb6f5df042e026247351682bb,0.98088910150773,10
a1a793b281c1f16922d8ded0cb249763830de112,0.9529152629721686,3
0ff83a6260b69e97e894b23011674c5a22360f1d,0.4230026725478566,3
b6826f55ab0224da8566cefd5b57c7ed18f3219a,0.06336127350568477,20
6aa98569fbbd6eab112dbb47c00613e72d876724,0.9999998006785548,30
